Original name,Bentity assigned,Notes (if not assigned)
Guadeloupe,Lesser Antilles,
Dominican Republic,Lesser Antilles,
Nevis Island,Lesser Antilles,
Montserrat,Lesser Antilles,
Grenada,Lesser Antilles,
Antigua,Lesser Antilles,
St. Kitts,Lesser Antilles,
St Kitts,Lesser Antilles,
St. John,Lesser Antilles,
Saba Island,Lesser Antilles,
Martinique,Lesser Antilles,
Dominica,Lesser Antilles,
St. Martin,Lesser Antilles,
Curacao,Lesser Antilles,
Barbuda,Lesser Antilles,
Aruba,Lesser Antilles,
Anguilla,Lesser Antilles,
St. Lucia,Lesser Antilles,
St. Vincent,Lesser Antilles,
St Vincent,Lesser Antilles,
Saint Vincent,Lesser Antilles,
Tortola,Lesser Antilles,
Virgin Islands,Lesser Antilles,
US Virgin Islands,Lesser Antilles,
Bonaire,Lesser Antilles,
British Virgin Islands,Lesser Antilles,
St Lucia,Lesser Antilles,
St. Croix,Lesser Antilles,
Tortola,Lesser Antilles,
St. Thomas,Lesser Antilles,
Antigua & Berbuda,Lesser Antilles,
Guana Island,Lesser Antilles,
Dutch Leeward Island,Lesser Antilles,
Dutch Caribbean,Lesser Antilles,
Cape Verde,Cape Verde archipelago,
Ascension Island,Saint Helena Ascension Tristan da Cunha,
Saint Helena,Saint Helena Ascension Tristan da Cunha,
St. Helena,Saint Helena Ascension Tristan da Cunha,
Trinidad & Tobago,Trinidad and Tobago,
Tobago,Trinidad and Tobago,
Trinidad,Trinidad and Tobago,
Singapore,Malaysia and Singapore,
Malaysia,Malaysia and Singapore,
Malaysia Peninsula,Malaysia and Singapore,
Dominican Republic,Hispaniola,
Haiti,Hispaniola,
Gilbert Islands,Kiribati,
Banaba,Kiribati,
Georgia (USA),Georgia US,
Georgia,Georgia US,
Comoro Islands,Comoros,
Mayotte,Comoros,
Wallis & Futuna,Wallis and Futuna,
Mascare Islands,Mascarene Islands,
Reunion,Mascarene Islands,
Mauritius,Mascarene Islands,
Rodrigues Islands,Mascarene Islands,
Rodrigues Island,Mascarene Islands,
Samoa,Samoan Islands,
American Samoa,Samoan Islands,
Papua New Guinea,New Guinea,
Galapagos,Galapagos Islands,
England,United Kingdom,
Scotland,United Kingdom,
Wales,United Kingdom,
Ireland (Northern),United Kingdom,
Gibraltar,Spain,
Azores,Azores Islands,
Vieques,Puerto Rico,
Madeira,Madeira Islands,
Okinawa (Ryukyu Islands),Okinawa,
Israel,Israel and Palestine,
Niue Islands,Niue,
Wake Island,Wake Atoll,
Wake Islands,Wake Atoll,
Turks & Caicos ,Turks and Caicos Islands,
Caicos Islands,Turks and Caicos Islands,
Brunei,Borneo,
Bosnia,Bosnia and Herzegovina,
Surinam,Suriname,
Palmyra Atoll,Line Islands,
Monaco,France,
Ireland (Eire),Ireland,
Diego Garcia island,Chagos Archipelago,
Cocos-Keeling Islands,Cocos (Keeling) Islands,
Norte de Santander,Norde de Santander,
Juan Fernandez,Juan Fernandez Islands,
Johnston Island,Johnston Atoll,
Guernsey,Channel Islands,
Alderney,Channel Islands,
Guam,Mariana Islands,
Northern Marian Islands,Mariana Islands,
Grand Cayman,Cayman Islands,
Zanzibar,Zanzibar Archipelago,
Vatican City,Italy,
Timor Leste,Lesser Sunda Islands,
East Timor,Lesser Sunda Islands,
Bali,Lesser Sunda Islands,
Tokuelau Islands,Tokelau,
Swairns Island,Tokelau,
Sao Tome & Principe,Cameroon line Archipelago,
Santa Cruz Islands,Solomon Islands,
Santa Cruz islands,Solomon Islands,
Rotuma,Fiji,
Pitcairns Islands,Pitcairn Islands,
Pantelleria,Pantelleria Island,
Masschusetts,Massachusetts,
Krasnodar Krai,Russia south,
Kaliningrad,Kaliningradskaya oblast,
Dubai,United Arab Emirates,
Cocos Island,Cocos Island (Costa Rica),
Andean Region Colombia,Didn't assign,Invovles multiple polygons
Australia,Didn't assign,Invovles multiple polygons
Aves Island,Didn't assign,Not sure which polygon it belongs
Macao,Macau,
Caribbean Region Colombia,Didn't assign,Invovles multiple polygons
Central Russia,Didn't assign,Invovles multiple polygons
Chile,Didn't assign,Invovles multiple polygons
French Polynesia,Didn't assign,Invovles multiple polygons
Greater Antilles,Didn't assign,Invovles multiple polygons
Iles Eparses,Didn't assign,Invovles multiple polygons
Japan,Didn't assign,Invovles multiple polygons
Magarita,Didn't assign,"It belongs to Venezula, but species can be exotic on this island but native to mainland Venezula"
NW India,Didn't assign,Not sure which polygon it belongs
NW Russia,Didn't assign,Invovles multiple polygons
Russia (Far east),Didn't assign,Invovles multiple polygons
Ryukyu Islands,Didn't assign,Invovles multiple polygons
Southern Russia,Didn't assign,Invovles multiple polygons
Ural (Russia),Didn't assign,Invovles multiple polygons
US Pacific Territories,Didn't assign,Invovles multiple polygons
Volga (Russia),Didn't assign,Invovles multiple polygons
Turks & Caicos,Turks and Caicos Islands,
Barbados,Lesser Antilles,
Niue Island,Niue,
Northern Mariana Islands,Mariana Islands,
Siberia,Didn't assign,Invovles multiple polygons
Tokelau Islands,Tokelau,
